Group_name,IU_ID,IU_ID2,CoverageGroup,Group,country,dd,pop,num_ius
1_2,18945,ETH18945,2,1,ETH,2,377944,13
1_1,34260,NAM34260,1,1,NAM,1,730155,14
10_1,14001,COD14001,1,10,COD,1,1178086,110
10_2,54120,KEN54120,2,10,KEN,2,707328,50
100_2,42258,SLE42258,2,100,SLE,2,2918002,4
101_1,49782,UGA49782,1,101,UGA,1,982884,1
102_1,35303,NER35303,1,102,NER,1,4627788,1
103_1,49725,UGA49725,1,103,UGA,1,3187067,1
105_1,33102,MOZ33102,1,105,MOZ,1,1738513,3
106_2,30005,MLI30005,2,106,MLI,2,2351115,1
106_1,48702,TGO48702,1,106,TGO,1,1540030,2
107_2,53005,BFA53005,2,107,BFA,2,614227,1
107_1,17467,ERI17467,1,107,ERI,1,399246,2
108_1,49731,UGA49731,1,108,UGA,1,670138,1
109_2,7575,CMR07575,2,109,CMR,2,720803,25
109_1,36865,NGA36865,1,109,NGA,1,1841703,3
11_2,42263,SLE42263,2,11,SLE,2,2472388,46
11_1,10686,TCD10686,1,11,TCD,1,1767499,41
110_2,21534,GHA21534,2,110,GHA,2,631887,2
111_2,21560,GHA21560,2,111,GHA,2,534852,1
112_2,7509,CMR07509,2,112,CMR,2,837729,1
113_2,40210,SEN40210,2,113,SEN,2,605931,1
114_2,18579,ETH18579,2,114,ETH,2,838810,1
115_1,49805,UGA49805,1,115,UGA,1,1539585,1
116_1,35323,NER35323,1,116,NER,1,1379322,1
117_1,33246,MOZ33246,1,117,MOZ,1,1057912,1
118_2,21425,GHA21425,2,118,GHA,2,1035801,1
119_2,5347,BFA05347,2,119,BFA,2,3343822,11
12_2,54056,KEN54056,2,12,KEN,2,582454,45
12_1,44387,SSD44387,1,12,SSD,1,1827592,31
120_1,35312,NER35312,1,120,NER,1,4196397,1
121_2,28967,MWI28967,2,121,MWI,2,2716786,5
122_2,18704,ETH18704,2,122,ETH,2,131288,1
122_1,36509,NGA36509,1,122,NGA,1,948491,1
123_2,28945,MWI28945,2,123,MWI,2,8667662,1
123_1,48699,TGO48699,1,123,TGO,1,1547325,3
124_2,29984,MLI29984,2,124,MLI,2,4577066,1
125_2,28972,MWI28972,2,125,MWI,2,2583682,1
126_2,28954,MWI28954,2,126,MWI,2,17719100,1
126_1,49734,UGA49734,1,126,UGA,1,2292085,1
127_2,28955,MWI28955,2,127,MWI,2,4555105,4
128_1,35327,NER35327,1,128,NER,1,2904130,1
129_2,28948,MWI28948,2,129,MWI,2,1548584,1
13_1,13852,COD13852,1,13,COD,1,1256579,132
13_2,19099,ETH19099,2,13,ETH,2,380861,69
130_2,18670,ETH18670,2,130,ETH,2,634777,1
131_1,15384,CIV15384,1,131,CIV,1,1427315,3
